GROUPE,SOUSGROUPE,ALIMENT,CALORIES,PROTEINES,GLUCIDES,LIPIDES,FRUCTOSE,SUCRES,GALACTOSE,GLUCOSE,LACTOSE,MALTOSE,SACCHAROSE,AMIDON
soupes,entrées et plats composés,"Soupe asiatique, avec pâtes, préemballée à réchauffer",22.3,0.7,3.4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe minestrone, déshydratée reconstituée",31.3,1.14,5.53,0.34,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe au cresson, déshydratée reconstituée",25.1,0.42,3.95,0.8,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe au cresson, préemballée à réchauffer",34.0,1.0,5.4,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux légumes avec fromage, préemballée à réchauffer",50.2,1.34,5.09,2.51,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux légumes verts, préemballée à réchauffer",33.4,1.0,3.84,1.32,0.2,0.81,0.0,0.2,0.2,0.2,0.4,3.03
soupes,entrées et plats composés,"Soupe aux légumes verts, déshydratée reconstituée",34.8,0.72,5.31,1.07,0.2,1.07,0.0,0.2,0.2,0.2,0.4,3.3
soupes,entrées et plats composés,"Soupe aux pois cassés, préemballée à réchauffer",56.7,2.68,6.25,1.98,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe froide type Gaspacho ou Gazpacho, préemballée",32.8,0.65,3.38,1.62,1.2,2.32,0.0,1.12,0.2,0.2,0.2,0.35
soupes,entrées et plats composés,"Soupe aux asperges, préemballée à réchauffer",133.0,4.6,4.7,10.4,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe miso, déshydratée reconstituée",17.1,1.38,2.18,0.5,0.2,0.69,0.0,0.69,0.2,0.2,0.2,0.0
plats composés,entrées et plats composés,Tripes à la mode de Caen,116.0,20.4,0.3,3.68,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.3
plats composés,entrées et plats composés,"Tripes à la mode de Caen, préemballées",112.0,18.4,0.7,3.62,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Tripes à la tomate ou à la provençale,94.1,15.7,0.6,3.2,0.0,0.4,0.0,0.2,0.0,0.2,0.4,0.0
plats composés,entrées et plats composés,Blanquette de veau,113.0,15.4,3.1,4.0,0.2,0.3,0.0,0.2,0.2,0.2,0.3,1.9
plats composés,entrées et plats composés,Boeuf bourguignon,84.6,8.93,4.17,3.3,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.3
plats composés,entrées et plats composés,"Sauté d'agneau au curry, préemballé",0.0,10.5,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",145.0,9.55,10.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Lapin à la moutarde, préemballé",108.0,14.9,0.5,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Coq au vin,133.0,13.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Paupiette de veau,193.0,14.5,2.6,13.8,0.0,0.41,0.0,0.0,0.0,0.0,0.0,2.19
plats composés,entrées et plats composés,Paupiette de volaille,164.0,23.9,8.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97
plats composés,entrées et plats composés,Poulet au curry et au lait de coco,124.0,10.6,3.15,6.9,0.37,1.49,0.0,0.45,0.22,0.2,0.45,1.65
plats composés,entrées et plats composés,"Meloukhia, plat à base de boeuf et corete, fait maison",189.0,10.6,1.2,14.7,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Palette à la diable, préemballée",120.0,13.5,2.08,6.07,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Langue de boeuf sauce madère, préemballée",180.0,9.5,4.5,13.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Porc au caramel, préemballé",136.0,10.0,11.4,5.4,1.8,7.9,0.0,2.7,0.2,0.7,2.7,1.3
plats composés,entrées et plats composés,"Boulettes au boeuf, à la sauce tomate, préemballées",117.0,9.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Paupiette de veau, préemballée,  cuite au four",276.0,22.0,0.48,20.5,0.2,0.3,0.0,0.3,0.2,0.2,0.2,0.35
plats composés,entrées et plats composés,"Carpaccio de boeuf, avec marinade",271.0,15.2,0.55,23.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0024
plats composés,entrées et plats composés,Yakitori (brochettes japonaises grillées en sauce),172.0,26.0,9.3,3.3,1.1,6.6,0.0,1.4,0.2,0.2,3.9,1.3
plats composés,entrées et plats composés,"Brochette de boeuf, cuite",139.0,21.9,0.33,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Brochette de volaille, cuite",137.0,23.1,1.39,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Hachis parmentier à la viande, préemballé",138.0,5.99,9.39,8.22,0.18,1.47,0.0,0.18,0.94,0.2,0.16,0.0
plats composés,entrées et plats composés,Couscous au mouton,149.0,8.31,12.2,7.2,0.0,1.38,0.0,0.0,0.0,0.0,0.0,10.8
plats composés,entrées et plats composés,"Couscous à la viande ou au poulet, préemballé, allégé",90.7,5.9,11.5,1.9,0.0,2.1,0.0,0.0,0.0,0.0,0.0,9.4
plats composés,entrées et plats composés,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",168.0,3.2,16.2,9.6,0.2,1.7,0.0,0.6,0.2,0.2,0.3,14.5
plats composés,entrées et plats composés,"Couscous royal (avec plusieurs viandes), préemballé",132.0,7.69,14.0,4.53,0.46,1.57,0.0,0.48,0.1,0.31,0.28,12.5
plats composés,entrées et plats composés,Couscous au poulet,130.0,7.5,15.6,3.85,0.0,2.87,0.0,0.0,0.0,0.0,0.0,12.8
plats composés,entrées et plats composés,"Couscous à la viande, préemballé",128.0,7.59,12.5,4.73,0.5,1.97,0.0,0.6,0.1,0.55,0.25,0.0
plats composés,entrées et plats composés,"Parmentier de canard, préemballé",146.0,6.82,8.51,9.06,0.3,1.96,0.0,0.3,0.0,0.3,0.2,0.0
plats composés,entrées et plats composés,"Parmentier de canard, préemballé, cuit",168.0,7.0,10.5,10.2,0.2,1.7,0.0,0.2,1.7,0.2,0.2,8.4
plats composés,entrées et plats composés,"Cassoulet, appertisé",129.0,8.06,9.41,5.77,0.3,1.06,0.0,0.2,0.0,0.28,0.29,7.3
plats composés,entrées et plats composés,"Choucroute garnie, préemballée",109.0,5.06,2.8,8.06,0.3,0.66,0.0,0.28,0.0,0.28,0.29,0.0
plats composés,entrées et plats composés,"Petit salé ou saucisse aux lentilles, préemballé",118.0,8.24,8.89,4.87,0.3,1.51,0.0,0.22,0.0,0.28,0.3,6.3
plats composés,entrées et plats composés,"Pot-au-feu, préemballé",77.5,10.9,3.2,2.02,0.0,1.5,0.0,0.4,0.0,0.2,0.7,1.7
plats composés,entrées et plats composés,Boeuf aux carottes,96.6,13.2,3.3,3.15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.7
plats composés,entrées et plats composés,Potée auvergnate (chou et porc),82.1,6.0,3.7,4.3,0.31,0.86,0.0,0.37,0.0,0.3,0.19,2.84
plats composés,entrées et plats composés,"Cassoulet au porc, appertisé",132.0,8.3,8.6,6.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Cassoulet au canard ou oie, appertisé",161.0,10.5,10.1,7.86,0.0,1.09,0.0,0.2,0.0,0.2,0.4,0.0
plats composés,entrées et plats composés,Tomate farcie,122.0,5.49,2.0,9.67,0.47,0.88,0.0,0.41,0.3,0.3,0.3,1.12
plats composés,entrées et plats composés,"Chou farci, préemballé",94.9,5.3,2.0,6.6,0.72,2.0,0.0,0.88,0.3,0.3,0.4,0.0
plats composés,entrées et plats composés,"Chili con carne, préemballé",118.0,7.13,13.0,3.35,0.49,2.58,0.0,0.42,0.0,0.1,0.77,4.6
plats composés,entrées et plats composés,Moussaka,147.0,5.82,5.16,10.8,0.88,3.01,0.0,0.91,0.29,0.084,0.85,0.9
plats composés,entrées et plats composés,Navarin d'agneau aux légumes,133.0,8.05,5.0,8.61,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.61
plats composés,entrées et plats composés,Tajine de mouton,132.0,12.8,4.5,6.83,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.1
plats composés,entrées et plats composés,Osso buco,96.7,11.2,3.5,4.08,0.0,1.1,0.0,0.0,0.0,0.0,0.0,2.3
plats composés,entrées et plats composés,"Poulet basquaise, préemballé",107.0,9.3,2.5,6.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Tajine de poulet, préemballé",127.0,7.54,14.4,3.7,3.1,6.8,0.0,3.2,0.2,0.2,0.5,2.3
plats composés,entrées et plats composés,"Chop suey (porc ou poulet), préemballé",78.2,5.0,7.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Légumes farcis (sauf tomate),69.8,6.4,3.6,3.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,1.01
