Aliment,Energie,Proteines,Glucides,Lipides,Fructose,Sucres,Galactose,Glucose,Lactose,Maltose,Saccharose,Amidon
"Tomate, purée, appertisée",47.1,1.4,7.54,0.4,1.7,3.64,0.0,1.86,0.0,0.24,0.26,0.0
"Bambou, pousses, appertisées, égouttées",0.0,1.61,1.9,0.15,0.3,1.15,0.0,0.28,0.0,0.3,0.3,0.0
"Brocoli, surgelé, cuit",0.0,3.1,2.36,0.11,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0
"Chou de Bruxelles, surgelé, cuit",0.0,3.64,4.22,0.39,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0
"Carotte, surgelée, cuite",32.9,0.58,4.52,0.68,0.28,4.08,0.0,0.36,0.0,0.0,3.44,0.31
"Champignon, lentin comestible ou shiitaké, cuit",60.9,1.56,12.3,0.22,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0
"Petits pois et carottes, surgelés, cuits",0.0,3.09,7.02,0.42,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0
"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau",30.5,2.25,3.39,0.3,0.2,2.3,0.0,1.6,0.2,0.2,0.7,0.8
"Chou frisé, cuit",0.0,1.9,3.63,0.4,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
"Chou chinois (pak-choi ou pé-tsai), cuit",0.0,1.53,0.75,0.17,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
"Cardon, cuit",0.0,0.76,3.63,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tomate, pulpe et peau, bouillie/cuite à l'eau",0.0,0.95,2.8,0.11,1.31,2.49,0.0,1.18,0.0,0.0,0.0,0.0
"Pois mange-tout ou pois gourmands, cuits",0.0,3.5,5.92,0.38,0.0,4.82,0.0,0.0,0.0,0.0,0.0,0.0
"Échalote, cuite",0.0,2.13,13.5,0.5,1.77,6.3,0.0,0.59,0.2,0.89,3.05,0.0
"Haricots verts, purée",0.0,1.7,4.2,2.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
"Légumes (3-4 sortes en mélange), purée",61.8,1.94,4.25,3.4,0.6,2.4,0.2,0.5,0.2,0.5,0.8,1.6
"Brocoli, purée",0.0,2.5,2.75,0.38,0.69,1.65,0.0,0.85,0.0,0.3,0.3,0.0
"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",0.0,2.05,8.53,0.2,2.6,5.5,0.0,2.6,0.1,0.15,0.25,0.0
"Carotte, purée",31.5,0.88,5.06,0.3,0.51,4.8,0.1,0.26,0.1,0.1,4.03,0.35
"Courgette, purée",0.0,2.8,6.5,1.9,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
"Tomate, double concentré, appertisé",92.8,3.73,17.0,0.29,7.14,16.5,0.0,6.56,0.0,0.3,0.3,0.0
"Macédoine de légumes, surgelée, pré-cuite (à recuire)",54.5,3.48,6.8,0.28,0.5,3.35,0.0,0.6,0.0,0.3,2.1,0.0
"Poivron rouge, appertisé, égoutté",0.0,0.91,4.42,0.77,1.99,3.64,0.0,1.65,0.0,0.3,0.3,0.0
"Asperge blanche, bouillie/cuite à l'eau",18.6,1.44,1.63,0.3,0.8,1.2,0.0,0.4,0.2,0.2,0.2,0.35
"Céleri-rave, purée",0.0,1.37,2.83,0.18,0.3,2.11,0.0,0.8,0.0,0.3,1.31,0.0
"Petits pois, purée",0.0,4.8,8.0,2.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"Épinard, purée",0.0,3.7,5.2,2.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
"Tomate, pulpe et peau, rôtie/cuite au four",31.1,0.88,4.13,0.6,2.04,3.7,0.0,1.66,0.2,0.2,0.2,0.35
"Chou romanesco ou brocoli à pomme, cuit",35.8,3.0,2.03,0.8,0.7,1.6,0.0,0.7,0.2,0.2,0.2,0.35
"Potimarron, pulpe, cuit à l'étouffée",44.8,1.31,7.05,0.5,1.3,4.5,0.0,1.6,0.2,0.2,1.6,2.3
"Courge musquée, pulpe, cuite",30.7,1.06,5.24,0.5,0.8,4.0,0.0,0.6,0.2,0.2,2.6,0.4
"Carotte, purée cuisinée à la crème, préemballée",44.4,1.44,4.57,1.6,0.43,4.39,0.1,0.39,0.45,0.1,3.12,0.35
"Asperge verte, bouillie/cuite à l'eau",26.6,2.69,1.73,0.3,0.8,1.3,0.0,0.3,0.2,0.2,0.2,0.35
"Aubergine, pulpe et peau, rôtie/cuite au four",33.8,1.31,3.83,0.3,1.4,3.4,0.2,1.8,0.2,0.2,0.2,0.35
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",16.9,0.88,1.43,0.3,0.3,1.0,0.0,0.7,0.2,0.2,0.2,0.35
"Brocoli, bouilli/cuit à l'eau, croquant",23.5,2.5,1.23,0.4,0.4,0.8,0.2,0.4,0.2,0.2,0.2,0.35
"Brocoli, bouilli/cuit à l'eau, fondant",23.1,2.19,1.03,0.5,0.3,0.6,0.2,0.3,0.2,0.2,0.2,0.35
"Brocoli, cuit à la vapeur",37.6,4.13,2.53,0.7,0.8,1.5,0.2,0.7,0.2,0.2,0.2,0.35
"Carotte, bouillie/cuite à l'eau, croquante",35.7,0.75,6.33,0.3,0.7,5.9,0.2,0.8,0.2,0.2,4.4,0.35
"Carotte, bouillie/cuite à l'eau, fondante",31.6,0.5,5.73,0.3,0.6,5.1,0.2,0.7,0.2,0.2,3.8,0.35
"Carotte, cuite à la vapeur",41.6,0.63,7.33,0.3,0.8,6.9,0.2,0.9,0.2,0.2,5.2,0.35
"Chou blanc, bouilli/cuit à l'eau",23.5,1.0,3.23,0.3,1.0,2.8,0.2,1.4,0.2,0.2,0.4,0.35
"Chou de Bruxelles, bouilli/cuit à l'eau",45.4,3.19,5.4,0.3,0.6,4.1,0.2,0.8,0.2,0.3,2.4,1.0
"Chou rouge, cuit à l'étouffée",34.9,1.19,5.7,0.3,1.6,4.5,0.2,2.2,0.2,0.2,0.7,0.35
"Chou vert, bouilli/cuit à l'eau",21.6,1.63,1.83,0.3,0.5,1.4,0.2,0.7,0.2,0.2,0.2,0.35
"Chou-fleur, cuit à la vapeur",30.1,2.56,3.41,0.3,0.8,2.4,0.2,0.9,0.2,0.2,0.7,0.35
"Courgette, pulpe et peau, rôtie/cuite au four",23.0,1.5,3.13,0.3,1.5,2.7,0.0,1.2,0.2,0.2,0.2,0.35
"Céleri branche, cuit à l'étouffée",16.7,0.75,2.48,0.3,0.7,1.7,0.2,0.8,0.2,0.2,0.2,0.35
"Céleri rave, bouilli/cuit à l'eau",26.2,0.94,4.32,0.3,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.35
"Endive, rôtie/cuite au four",23.5,1.13,4.38,0.3,1.0,3.2,0.2,2.2,0.2,0.2,0.2,0.35
"Fenouil, cuit à l'étouffée",13.7,0.5,1.94,0.3,0.5,1.3,0.0,0.8,0.2,0.2,0.2,0.35
"Haricot beurre, bouilli/cuit à l'eau",34.6,2.19,4.45,0.3,1.2,2.2,0.0,0.7,0.2,0.2,0.3,0.4
"Haricot vert, bouilli/cuit à l'eau",28.0,1.75,3.39,0.3,1.1,2.5,0.0,0.9,0.2,0.2,0.5,0.35
"Navet, bouilli/cuit à l'eau",21.1,0.75,3.23,0.3,1.2,2.8,0.2,1.6,0.2,0.2,0.2,0.35
"Oignon blanc ou jaune, sauté/poêlé sans matière grasse",40.2,1.56,6.73,0.3,1.5,5.0,0.2,2.0,0.2,0.2,1.5,0.35
"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse",27.6,1.13,3.56,0.3,1.6,2.8,0.0,0.9,0.2,0.2,0.3,0.35
"Oignon rouge, sauté/poêlé sans matière grasse",42.4,1.69,7.55,0.3,2.1,6.7,0.0,2.5,0.2,0.2,2.1,0.35
"Panais, cuit à l'étouffée",90.8,1.94,16.6,0.5,0.2,6.2,0.2,0.2,0.2,0.2,6.2,5.0
"Petits pois, bouillis/cuits à l'eau",80.3,6.38,9.93,0.6,0.2,1.6,0.0,0.2,0.2,0.2,1.6,5.0
"Poireau, bouilli/cuit à l'eau",27.4,2.56,2.23,0.3,0.8,1.8,0.2,0.7,0.2,0.2,0.3,0.35
"Poivron jaune, sauté/poêlé sans matière grasse",35.8,1.0,5.33,0.6,2.6,4.9,0.0,2.3,0.2,0.2,0.2,0.35
"Poivron rouge, sauté/poêlé sans matière grasse",35.7,0.94,6.53,0.3,3.3,6.1,0.0,2.8,0.2,0.2,0.2,0.35
"Poivron vert, sauté/poêlé sans matière grasse",28.6,1.25,3.53,0.3,1.5,3.1,0.0,1.6,0.2,0.2,0.2,0.35
"Potimarron, pulpe, bouilli/cuit à l'eau",38.2,1.06,6.88,0.3,1.1,3.5,0.2,1.3,0.2,0.2,1.1,1.2
"Potiron, rôti/cuit au four",30.2,0.5,5.66,0.3,1.4,4.8,0.2,1.2,0.2,0.2,2.2,0.35
"Salsifis, bouilli/cuit à l'eau",57.9,2.63,9.29,0.3,0.5,2.3,0.2,0.2,0.2,0.2,1.8,0.35
"Tomate, rôtie/cuite au four",25.3,1.0,3.53,0.4,1.7,3.1,0.0,1.4,0.2,0.2,0.2,0.35
"Échalote, sautée/poêlée sans matière grasse",66.9,2.0,12.3,0.4,1.4,3.8,0.2,0.5,0.2,0.2,1.9,0.35
"Épinard, bouilli/cuit à l'eau",28.1,3.38,0.85,0.7,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.35
"Légumes pour couscous, cuits",0.0,1.53,2.55,0.43,0.33,1.1,0.0,0.4,0.2,0.2,0.37,1.45
"Crosne, cuit",50.8,2.13,9.11,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35
"Gombo, fruit, cuit",0.0,1.87,2.01,0.21,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0
"Carotte, déshydratée",0.0,8.1,56.0,1.49,0.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0
"Oignon, séché",0.0,8.95,75.0,0.46,0.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0
"Tomate, séchée",0.0,14.2,43.3,2.99,0.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0
"Champignon noir, séché",0.0,7.27,0.0,0.075,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.0
"Champignon, lentin comestible ou shiitaké, séché",316.0,9.58,63.9,0.99,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0
"Tomate, séchée, à l'huile",187.0,4.27,13.4,11.7,3.63,6.5,0.0,2.88,0.0,0.3,0.3,0.0
"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique",0.0,1.06,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2
"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",0.0,0.0,12.3,0.0,0.29,0.44,0.0,0.054,0.0,0.0,0.09,11.9
"Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique",0.0,0.0,13.9,0.0,0.037,0.2,0.0,0.036,0.0,0.0,0.12,13.7
"Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,3.25,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2
"Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique",0.0,1.21,5.93,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97
"Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique",0.0,1.23,4.6,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67
"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"Concombre, pulpe avec graines, cru, prélevé à la Martinique",0.0,0.73,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Concombre, pulpe, cru, prélevé à la Martinique",0.0,0.42,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cresson, feuille, cru, prélevé à la Martinique",0.0,2.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5
"Farine de pulpe de patate douce, prélevée à la Martinique",0.0,0.0,50.1,0.0,0.0072,0.018,0.0,0.0057,0.0,0.0,0.0049,50.1
"Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.29,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.1,4.51,0.097,0.43,1.91,0.0,0.59,0.0,0.0,0.89,2.17
"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",0.0,0.0,3.75,0.0,0.45,1.35,0.0,0.45,0.0,0.0,0.45,2.4
"Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique",0.0,0.0,2.42,0.0,0.29,0.82,0.0,0.28,0.0,0.0,0.24,1.6
"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.03,5.62,0.05,0.28,1.56,0.0,0.43,0.0,0.0,0.85,2.6
"Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique",0.0,0.0,3.51,0.0,0.35,1.44,0.0,0.35,0.0,0.0,0.74,2.07
"Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique",0.0,0.0,4.37,0.0,0.5,1.47,0.0,0.48,0.0,0.0,0.49,2.9
"Gombo, entier, appertisé, non égoutté, prélevé à la Martinique",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gombo, entier, cuit à la vapeur, prélevé à la Martinique",0.0,1.8,4.69,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique",0.0,0.24,5.28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.65,17.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9
"Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,2.04,27.6,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2
"Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,2.25,18.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4
"Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.23,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
"Massissi, pulpe, cru, prélevé à la Martinique",0.0,2.58,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Papaye, pulpe, crue, prélevée à la Martinique",0.0,0.67,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique",0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique",0.0,0.0,19.3,0.0,0.0043,0.021,0.0,0.0078,0.0,0.0,0.0087,19.3
"Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique",0.0,1.48,25.2,0.067,0.0037,0.19,0.0,0.0065,0.0,0.0,0.18,21.7
"Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique",0.0,16.3,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1
"Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique",0.0,1.13,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7
"Tomate, entière, crue, prélevée à la Martinique",0.0,1.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis)",17.7,1.69,1.7,0.3,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.35
"Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule)",22.2,0.63,3.5,0.3,1.4,2.8,0.2,1.4,0.2,0.2,0.2,0.7
"Tapioca ou Perles du Japon, cru",354.0,0.19,87.8,0.02,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0
"Pomme de terre, sans peau, rôtie/cuite au four",91.9,1.96,20.1,0.1,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
"Pomme de terre, bouillie/cuite à l'eau",80.5,1.8,16.7,0.34,0.3,0.86,0.0,0.37,0.0,0.0,0.19,15.8
"Chips de pommes de terre nature ou aromatisées, standard",545.0,5.67,51.1,34.3,0.2,1.59,0.0,0.2,0.2,0.2,0.4,48.8
"Pomme de terre nouvelle, bouillie/cuite à l'eau",0.0,1.44,0.0,0.3,0.2,0.0,0.0,0.3,0.0,0.0,0.5,0.0
"Pomme de terre, sans peau, crue",80.5,2.16,16.2,0.18,0.15,0.78,0.0,0.22,0.0,0.0,0.41,15.4
"Pomme de terre, appertisée, égouttée",59.9,1.47,11.7,0.34,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
"Pomme de terre noisette, surgelée, crue",181.0,2.76,24.9,7.22,0.3,0.74,0.0,0.28,0.0,0.3,0.21,0.0
"Pomme de terre vapeur, sous vide",73.6,1.7,15.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
"Pomme de terre poêlée, avec matière grasse",137.0,2.5,17.3,5.7,0.8,2.2,0.2,0.9,0.2,0.2,0.5,14.0
"Pomme de terre, flocons déshydratés, au lait ou à la crème",371.0,10.5,69.4,3.97,0.0,4.67,0.0,0.0,0.0,0.0,0.0,64.7
"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse",97.9,1.92,10.2,5.18,0.15,1.68,0.0,0.14,1.13,0.075,0.15,8.49
"Pomme de terre, purée, avec lait et beurre, non salée",88.8,1.87,14.2,2.4,0.24,1.41,0.0,0.29,0.72,0.0,0.15,12.8
"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée",67.3,2.63,12.1,0.53,0.0,1.71,0.0,0.0,0.0,0.0,0.0,10.4
"Pomme de terre dauphine, surgelée, crue",285.0,4.62,25.6,17.7,0.3,1.96,0.0,0.3,0.0,1.96,0.3,0.0
"Pomme de terre dauphine, surgelée, cuite",302.0,4.5,30.2,17.7,0.2,3.5,0.0,0.2,0.2,3.3,0.2,20.8
"Pomme de terre, flocons déshydratés, nature",361.0,8.04,76.1,0.46,0.68,2.35,0.0,0.62,0.0,0.35,0.69,70.6
"Pomme de terre nouvelle, crue",76.4,1.88,15.9,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,15.6
"Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites",174.0,3.25,25.3,5.8,0.2,0.0,0.2,0.2,0.2,0.2,0.2,22.6
"Pomme de terre, rôtie/cuite au four",89.4,2.5,18.5,0.13,0.34,1.18,0.0,0.44,0.0,0.0,0.4,17.3
"Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite",156.0,2.81,23.0,4.8,0.2,0.0,0.2,0.2,0.2,0.2,0.2,22.1
"Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau",76.1,1.81,15.7,0.5,0.2,0.2,0.0,0.2,0.2,0.2,0.2,13.5
"Pomme de terre primeur, sans peau, bouillie/cuite à l'eau",71.6,1.84,14.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9
"Frites de pommes de terre, surgelées, rôties/cuites au four",213.0,3.75,32.6,6.6,0.2,0.29,0.0,0.2,0.2,0.2,0.4,30.6
"Frites de pommes de terre, surgelées, cuites en friteuse",285.0,3.28,39.4,11.9,0.0,0.69,0.0,0.0,0.0,0.0,0.44,32.1
"Pomme de terre duchesse, surgelée, cuite",218.0,3.44,29.5,8.5,0.2,0.4,0.0,0.2,0.2,0.2,0.4,27.8
"Pomme de terre noisette, surgelée, cuite",191.0,2.81,28.5,6.6,0.2,0.2,0.0,0.2,0.2,0.2,0.2,24.9
Pomme de terre sautée/poêlée à la graisse de canard,213.0,2.54,21.9,12.1,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0
"Chips de pommes de terre nature ou aromatisées, à l'ancienne",570.0,5.62,49.8,37.6,0.2,1.38,0.0,0.2,0.2,0.2,0.7,43.5
"Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse",463.0,6.58,62.1,19.8,0.2,2.49,0.0,0.2,0.2,0.2,2.49,54.9
Rostis ou Galette de pomme de terre,182.0,2.38,22.5,8.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.5
"Pomme de terre duchesse, surgelée, crue",178.0,2.8,23.2,7.72,0.3,0.73,0.0,0.3,0.0,0.3,0.3,0.0
"Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue",135.0,2.32,20.9,4.2,0.3,0.42,0.0,0.3,0.0,0.3,0.3,0.0
"Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four",154.0,2.41,23.4,5.09,0.3,0.35,0.0,0.3,0.0,0.3,0.3,0.0
"Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes",254.0,3.5,34.0,10.8,0.3,0.23,0.0,0.3,0.0,0.3,0.19,0.0
"Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse",244.0,3.12,29.1,12.1,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
"Patate douce, crue",86.3,1.51,18.3,0.15,0.75,5.64,0.0,0.93,0.0,0.0,2.51,12.7
"Patate douce, cuite",62.8,1.69,12.2,0.15,0.47,6.11,0.0,0.56,0.0,3.23,1.86,6.14
"Patate douce, purée, cuisinée à la crème",79.8,1.1,12.1,2.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
"Topinambour, cuit",81.9,1.8,16.0,0.7,0.5,9.6,0.0,0.5,0.5,0.5,1.7,0.5
"Topinambour, cru",60.7,1.94,11.5,0.31,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0
"Banane plantain, cuite",125.0,0.79,28.9,0.18,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
"Taro, tubercule, cru",107.0,1.5,22.8,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,20.8
"Taro, tubercule, cuit",131.0,0.52,29.5,0.11,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0
"Igname, épluchée, crue",111.0,1.53,23.8,0.17,0.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0
"Igname, épluchée, bouillie/cuite à l'eau",109.0,1.49,23.6,0.14,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0
"Manioc, racine crue",157.0,1.31,36.3,0.29,0.0,1.7,0.0,0.0,0.0,0.0,0.0,30.0
"Manioc, racine cuite",132.0,0.69,32.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit à pain, cru",105.0,1.07,22.2,0.23,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
"Haricot coco, bouilli/cuit à l'eau",131.0,9.63,13.7,0.5,0.2,1.1,0.0,0.4,0.2,0.2,0.7,12.3
"Fève, bouillie/cuite à l'eau",82.9,8.06,9.35,0.8,0.2,0.4,0.0,0.2,0.2,0.2,0.4,7.6
"Haricot blanc, bouilli/cuit à l'eau",112.0,6.75,12.0,1.1,0.2,0.3,0.0,0.2,0.2,0.2,0.3,11.4
"Haricot rouge, bouilli/cuit à l'eau",116.0,9.63,12.3,0.6,0.2,0.5,0.0,0.2,0.2,0.2,0.5,11.5
"Lentille, bouillie/cuite à l'eau",0.0,9.02,12.2,0.38,0.0,1.8,0.0,0.0,0.0,0.0,0.39,0.0
"Pois cassé, bouilli/cuit à l'eau",0.0,8.6,16.3,1.49,0.0,3.85,0.0,0.0,0.0,0.0,0.65,0.0
"Pois chiche, bouilli/cuit à l'eau",147.0,8.31,17.7,3.0,0.2,0.3,0.0,0.2,0.2,0.2,0.3,14.9
"Haricot flageolet, appertisé, égouttés",0.0,6.1,12.2,0.79,0.5,0.2,0.0,0.5,0.5,0.5,0.5,12.0
"Lentille, cuisinée, appertisée, égouttée",0.0,6.28,11.8,0.64,0.25,0.42,0.0,0.25,0.2,0.25,0.26,10.2
"Haricot blanc, appertisé, égoutté",0.0,6.57,10.9,0.4,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0
"Haricot flageolet, bouilli/cuit à l'eau",112.0,6.75,12.0,1.1,0.2,0.3,0.0,0.2,0.2,0.2,0.3,11.4
"Haricot rouge, appertisé, égoutté",0.0,8.31,13.0,0.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Haricot mungo, bouilli/cuit à l'eau",0.0,7.54,11.9,0.55,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0
"Pois chiche, appertisé, égoutté",0.0,6.74,15.0,2.68,0.0,0.5,0.0,0.0,0.0,0.0,0.44,0.0
"Haricot flageolet, vert, bouilli/cuit à l'eau",0.0,5.63,15.8,1.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
"Fève, pelée, surgelée, cuite à l'eau",0.0,6.4,9.0,0.5,0.2,0.2,0.0,0.2,0.2,0.2,0.2,8.6
"Fève, surgelée, bouillie/cuite à l'eau",0.0,5.6,7.4,0.5,0.2,1.0,0.0,0.2,0.2,0.2,1.0,6.4
"Lentille verte, bouillie/cuite à l'eau",127.0,10.1,16.2,0.58,0.2,0.2,0.0,0.2,0.2,0.2,0.2,15.8
"Lentille blonde, bouillie/cuite à l'eau",0.0,9.7,16.3,0.7,0.2,0.4,0.0,0.2,0.2,0.2,0.4,14.2
"Lentille corail, bouillie/cuite à l'eau",0.0,10.6,15.0,0.5,0.2,0.26,0.0,0.2,0.2,0.2,0.26,14.7
"Fève à écosser, fraîche",0.0,6.76,4.2,0.67,0.0,0.37,0.0,0.0,0.0,0.0,0.0,3.83
"Lentille, germée",0.0,8.86,19.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lupin, graine crue",0.0,36.2,21.5,9.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fève, fraîche, surgelée",0.0,7.5,7.95,0.22,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0
"Haricot flageolet, surgelé",0.0,9.32,25.6,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
"Fève, pelée, surgelée, crue",0.0,14.9,14.9,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Haricot blanc, sec",0.0,19.1,43.9,1.78,0.0,1.92,0.0,0.0,0.0,0.0,0.0,42.0
"Lentille, sèche",0.0,25.4,50.6,1.34,0.17,1.25,0.0,0.0,0.0,0.18,0.9,49.3
"Pois cassé, sec",0.0,22.8,52.0,1.44,0.1,2.75,0.0,0.15,0.1,0.1,2.51,0.0
"Pois chiche, sec",0.0,20.5,47.5,5.85,0.2,6.5,0.0,0.2,0.2,0.2,2.3,40.0
